No,Wilayah,Tipe_Disabilitas,Jumlah_Jiwa,Tahun,Link_Data
169,KAB. TASIKMALAYA,Sensorik,178,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
170,KOTA BOGOR,Rungu/Wicara,484,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
171,KAB. KUNINGAN,Rungu/Wicara,306,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
172,KOTA CIREBON,Mental,389,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
173,KOTA BEKASI,Sensorik,351,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
174,KAB. CIREBON,Mental,161,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
175,KAB. CIANJUR,Mental,185,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
176,KAB. CIANJUR,Rungu/Wicara,38,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
177,KOTA BANDUNG,Fisik,17,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
178,KAB. PURWAKARTA,Intelektual,186,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
179,KAB. TASIKMALAYA,Mental,416,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
180,KOTA CIREBON,Mental,158,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
181,KAB. PANGANDARAN,Mental,448,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
182,KAB. GARUT,Fisik,243,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
183,KOTA BEKASI,Fisik,487,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
184,KOTA BEKASI,Fisik,13,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
185,KAB. GARUT,Rungu/Wicara,19,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
186,KAB. TASIKMALAYA,Sensorik,71,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
187,KAB. PURWAKARTA,Rungu/Wicara,320,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
188,KAB. BOGOR,Mental,109,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
189,KAB. BANDUNG BARAT,Rungu/Wicara,176,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
190,KOTA CIREBON,Intelektual,340,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
191,KOTA BOGOR,Sensorik,223,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
192,KOTA TASIKMALAYA,Mental,122,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
193,KOTA CIMAHI,Intelektual,337,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
194,KOTA CIMAHI,Intelektual,45,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
195,KAB. MAJALENGKA,Sensorik,18,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
196,KOTA BOGOR,Intelektual,189,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
197,KAB. KARAWANG,Intelektual,238,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
198,KAB. KARAWANG,Mental,206,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
199,KAB. BOGOR,Rungu/Wicara,293,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
200,KAB. PANGANDARAN,Mental,429,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
201,KAB. PURWAKARTA,Fisik,280,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
202,KOTA BANDUNG,Intelektual,86,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
203,KAB. PURWAKARTA,Intelektual,343,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
204,KAB. GARUT,Intelektual,80,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
205,KAB. KARAWANG,Mental,286,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
206,KAB. INDRAMAYU,Rungu/Wicara,110,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
207,KAB. SUBANG,Intelektual,182,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
208,KAB. PANGANDARAN,Fisik,202,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
209,KOTA BEKASI,Fisik,250,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
210,KAB. PURWAKARTA,Fisik,100,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
211,KAB. PURWAKARTA,Intelektual,314,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
212,KOTA SUKABUMI,Mental,392,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
213,KAB. CIAMIS,Rungu/Wicara,430,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
214,KAB. PURWAKARTA,Fisik,137,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
215,KOTA CIREBON,Rungu/Wicara,179,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
216,KAB. CIREBON,Sensorik,82,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
217,KAB. CIREBON,Mental,172,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
218,KOTA DEPOK,Sensorik,358,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
219,KAB. PANGANDARAN,Fisik,19,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
220,KAB. BANDUNG,Mental,430,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
221,KAB. BANDUNG BARAT,Intelektual,363,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
222,KAB. CIAMIS,Rungu/Wicara,13,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
223,KAB. SUKABUMI,Mental,289,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
224,KOTA DEPOK,Intelektual,400,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
225,KOTA BANJAR,Mental,45,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
226,KAB. KARAWANG,Intelektual,322,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
227,KAB. SUMEDANG,Intelektual,68,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
228,KAB. SUMEDANG,Rungu/Wicara,31,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
229,KAB. GARUT,Intelektual,384,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
230,KAB. CIAMIS,Fisik,306,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
231,KAB. PURWAKARTA,Rungu/Wicara,475,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
232,KAB. PANGANDARAN,Rungu/Wicara,271,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
233,KAB. MAJALENGKA,Sensorik,402,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
234,KOTA BANJAR,Mental,112,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
235,KAB. KUNINGAN,Rungu/Wicara,473,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
236,KOTA BOGOR,Mental,137,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
237,KAB. GARUT,Rungu/Wicara,84,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
238,KOTA CIMAHI,Mental,397,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
239,KAB. PURWAKARTA,Fisik,299,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
240,KAB. BANDUNG BARAT,Rungu/Wicara,208,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
241,KAB. CIANJUR,Mental,54,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
242,KOTA BANDUNG,Intelektual,10,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
243,KAB. CIREBON,Fisik,277,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
244,KOTA BANDUNG,Sensorik,425,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
245,KAB. PURWAKARTA,Mental,204,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
246,KOTA BOGOR,Fisik,387,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
247,KOTA BEKASI,Fisik,419,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
248,KAB. CIANJUR,Sensorik,421,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
249,KAB. CIAMIS,Rungu/Wicara,281,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
250,KAB. KARAWANG,Mental,209,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
251,KAB. INDRAMAYU,Fisik,492,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
252,KAB. MAJALENGKA,Intelektual,414,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
253,KAB. INDRAMAYU,Mental,410,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
254,KAB. SUKABUMI,Sensorik,190,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
255,KAB. MAJALENGKA,Fisik,259,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
256,KAB. INDRAMAYU,Rungu/Wicara,232,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
257,KOTA BOGOR,Sensorik,131,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
258,KAB. BEKASI,Intelektual,394,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
259,KAB. TASIKMALAYA,Rungu/Wicara,280,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
260,KAB. PURWAKARTA,Intelektual,28,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
261,KAB. SUMEDANG,Fisik,132,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
262,KAB. KARAWANG,Mental,291,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
263,KOTA DEPOK,Sensorik,129,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
264,KAB. BEKASI,Rungu/Wicara,312,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
265,KAB. SUBANG,Fisik,428,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
266,KOTA CIMAHI,Rungu/Wicara,72,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
267,KAB. TASIKMALAYA,Mental,379,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
268,KAB. CIAMIS,Rungu/Wicara,177,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
269,KAB. GARUT,Fisik,151,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
270,KAB. SUKABUMI,Mental,119,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
271,KOTA BANJAR,Intelektual,258,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
272,KAB. CIANJUR,Mental,213,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
273,KAB. KARAWANG,Rungu/Wicara,215,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
274,KOTA SUKABUMI,Intelektual,496,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
275,KOTA BOGOR,Mental,163,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
276,KAB. GARUT,Fisik,323,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
277,KAB. INDRAMAYU,Intelektual,411,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
278,KAB. SUMEDANG,Intelektual,450,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
279,KAB. CIAMIS,Fisik,125,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
280,KAB. SUMEDANG,Intelektual,283,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
281,KOTA DEPOK,Rungu/Wicara,379,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
282,KOTA CIMAHI,Rungu/Wicara,50,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
283,KAB. CIANJUR,Rungu/Wicara,255,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
284,KAB. TASIKMALAYA,Fisik,488,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
285,KAB. GARUT,Fisik,160,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
286,KAB. INDRAMAYU,Rungu/Wicara,393,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
287,KAB. SUMEDANG,Intelektual,434,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
288,KOTA BANJAR,Rungu/Wicara,340,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
289,KAB. INDRAMAYU,Fisik,343,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
290,KAB. CIAMIS,Mental,292,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
291,KAB. BANDUNG,Mental,472,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
292,KAB. CIREBON,Fisik,124,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
293,KOTA BANJAR,Intelektual,434,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
294,KAB. TASIKMALAYA,Fisik,103,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
295,KOTA SUKABUMI,Mental,346,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
296,KOTA BANDUNG,Mental,331,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
297,KAB. BEKASI,Fisik,113,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
298,KOTA CIMAHI,Fisik,461,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
299,KOTA SUKABUMI,Sensorik,24,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
300,KAB. PURWAKARTA,Mental,179,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
301,KAB. SUKABUMI,Mental,290,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
302,KAB. BEKASI,Sensorik,492,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
303,KAB. PURWAKARTA,Intelektual,213,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
304,KAB. CIANJUR,Intelektual,322,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
305,KOTA CIMAHI,Fisik,457,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
306,KAB. BEKASI,Fisik,153,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
307,KAB. BANDUNG,Sensorik,121,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
308,KOTA BANJAR,Rungu/Wicara,500,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
309,KAB. CIANJUR,Intelektual,108,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
310,KOTA BANDUNG,Sensorik,424,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
311,KAB. BANDUNG BARAT,Sensorik,453,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
312,KAB. GARUT,Mental,74,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
313,KAB. KARAWANG,Rungu/Wicara,61,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
314,KAB. CIANJUR,Intelektual,70,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
315,KOTA CIREBON,Sensorik,337,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
316,KOTA CIMAHI,Intelektual,32,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
317,KAB. KARAWANG,Sensorik,216,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
318,KAB. PURWAKARTA,Mental,11,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
319,KAB. INDRAMAYU,Sensorik,361,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
320,KAB. PANGANDARAN,Fisik,110,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
321,KAB. INDRAMAYU,Rungu/Wicara,63,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
322,KOTA CIREBON,Rungu/Wicara,331,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
323,KAB. SUBANG,Mental,11,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
324,KAB. BANDUNG BARAT,Rungu/Wicara,445,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
325,KOTA BANDUNG,Sensorik,67,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
326,KAB. BEKASI,Intelektual,224,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
327,KAB. INDRAMAYU,Fisik,454,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
328,KAB. CIREBON,Fisik,54,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
329,KOTA BEKASI,Intelektual,251,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
330,KAB. SUBANG,Intelektual,397,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
331,KOTA CIREBON,Sensorik,214,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
332,KAB. GARUT,Sensorik,265,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
333,KOTA SUKABUMI,Sensorik,16,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
334,KAB. PANGANDARAN,Intelektual,68,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
335,KOTA BOGOR,Intelektual,81,2024,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
336,KOTA BEKASI,Sensorik,339,2023,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
337,KAB. KARAWANG,Mental,410,2022,https://opendata.jabarprov.go.id/id/dataset/jumlah-penduduk-berdasarkan-jenis-disabilitas-di-jawa-barat
